"FARM_NO","YEAR","COMPANY","AREA_GRP","FARM_LEVEL","UPDOWN","MSY","PSY","S_MODON","BING","BDAY","C_BDAY","D_BDAY","E_BDAY","F_BDAY","G_BDAY","BUNMAN_GIGAN","BUNMAN_RATIO","CHONGSAN_AVG","SILSAN_AVG","MILA_AVG","SASAN_AVG","EUDUSU_AVG","POU_AVG","JAGI_AVG","ZAEGI7_RATIO","DIE_SANCHA","CHO_GYOBAE","AVG_SANCHA"
"1136","2010",피그플랜,"010003","180002","5",0,15.9,175,1.74,120.9,14.9,1.5,104.5,0,0,114.5,64.6,10.3,10.2,0,0,9.2,20.6,7.3,"89.4",,203,"3.5"
"1301","2010",피그플랜,"010009","180006","4",0,18.2,568,2.22,47.9,16.4,2.9,20.3,7.4,0.9,115.2,72.8,10.6,9.5,0.2,1,8.2,29,7.5,"92.2","4.8",254,"6.2"
"2160","2010",피그플랜,"010004","180006","3",0,22.6,910,2.27,46.2,11.6,1.1,28.6,3.6,1.3,115.5,77.4,11.9,10.3,0.4,1.2,9.9,25.6,6.1,"94.6","4",257,"5.6"
"1413","2010",피그플랜,"010006","180006","3",0,22.6,775,2.4,33.6,11.1,2.2,19.9,0,0.3,114.4,85.6,11.8,10.3,0.3,1.1,9.4,23.5,5.7,"94.2","3",248,"5.4"
"1670","2010",피그플랜,"010001","180004","4",0,18.1,386,2,86.2,13.9,2.9,69.2,0.1,0.1,114.1,85.6,10.8,10,0.1,0.7,9.1,21.4,6.5,"87.5",,270,"3"
"2159","2006",피그플랜,"010004","180006","3",0,20.7,993,2.28,43.7,14.2,1.8,20.3,5.7,1.6,116,81.5,10.7,9.8,0.3,0.6,9.1,25.3,6.9,"88.9","4.9",227,"7.1"
"1721","2006",피그플랜,"010002","180005","2",0,25.8,451,2.49,25.4,12.2,0.5,12.6,0.1,0,115,89.6,11.9,11.1,0.2,0.6,10.4,20.9,5.5,"92.2","5.4",235,"7.7"
"2411","2006",피그플랜,"010003","180007","3",0,22,"1,570",2.35,43.2,15,2.4,24.6,0.6,0.6,113.7,83.8,11.1,9.8,0,1.3,9.3,23.1,7.4,"88.3","3.4",225,"6.1"
"638","2006",피그플랜,"010007","180003","4",14.2,19.5,212,2.28,44.1,12.6,0.4,27.6,2.9,0.7,114.5,76.9,11.4,10.7,0.1,0.6,8.6,26.6,6,"88.9","4.2",225,"7"
"2764","2006",피그플랜,"010001","180003","3",15.7,21.9,260,2.34,43.4,19.6,1.2,19.5,2.1,1.1,116.1,83.1,11.4,10.4,0.1,0.8,9.4,22.1,7.3,"84.8","4.7",235,"5.7"
"936","2006",피그플랜,"010005","180007","3",0,21.6,"1,299",2.4,32.1,12.1,5.7,12.6,0.4,1.4,114.7,90,10.9,10.1,0.3,0.5,9,25.2,6.2,"88.6","3.2",235,"6.8"
"1992","2006",피그플랜,"010005","180005","3",0,20.2,470,2.24,52.1,19.3,3.2,29.4,0.2,0,114.1,75.6,10.9,9.3,0,1.5,9,25.6,9.2,"77.1","4",242,"5.7"
"1075","2006",피그플랜,"010002","180002","4",0,19.4,103,2.14,87.6,21.4,0,65.6,0.5,0,115,72.7,10.3,9.6,0,0.7,9,21.8,13.7,"73.9","0",242,"6.4"
"1740","2006",피그플랜,"010001","180003","3",0,22.7,262,2.36,47.6,12.1,0.6,34.6,0.3,0,115.3,77.6,10.9,10.3,0,0.5,9.6,18.5,5.3,"94.3","6.9",221,"8.6"
"1915","2006",피그플랜,"010006","180005","3",0,24.3,471,2.43,33.8,14.8,1.4,17.6,0,0,112.6,89.6,12.2,11.5,0,0.7,10,23.5,6.4,"90.5","6",208,"8.6"
"1776","2006",피그플랜,"010002","180003","2",0,25.7,269,2.46,25.2,14,0.9,10.3,0,0,114.7,90.9,12.3,11.4,0.3,0.7,10.4,23.4,6.6,"92.4","5.1",249,"6.9"
"2467","2006",피그플랜,"010004","180002","3",0,20.2,143,2.12,69.9,14.9,0.7,53.9,0.3,0,115.2,68.9,11.9,10.4,0,1.4,9.5,24,6.5,"91.9","5.7",248,"7"
"1073","2006",피그플랜,"010002","180006","3",0,22.9,644,2.36,28.8,9.8,5,12.4,0,1.5,115.8,86.2,11.3,10.8,0,0.5,9.7,26.6,4.9,"94.2","5.7",210,"6.1"
"2619","2006",피그플랜,"010007","180006","3",0,21.1,530,2.3,57.5,12.7,2.6,36.5,3.7,2,114.7,63.9,10.5,9.8,0.2,0.5,9.2,19.8,6.2,"88.9","3.5",240,"6.8"
"133","2006",피그플랜,"010009","180004","5",0,15.1,387,1.82,108.7,27,8.5,66.5,0.3,6.4,115.4,59.4,9.9,9.7,0,0.2,8.3,25,7.9,"89.1","2",254,"5.4"
"1730","2006",피그플랜,"010004","180003","4",0,18.7,223,2.19,56,10.1,1,36.3,7.4,1.3,115.4,71.1,11.2,9.8,0.9,0.5,8.5,26,5.2,"93.6","5.9",212,"5.9"
"1761","2006",피그플랜,"010007","180002","3",0,23.5,180,2.22,62.4,13.3,1.6,39.8,7.6,0.2,115,71.6,11.6,11.2,0,0.4,10.6,22,6.9,"92.6","5.5",243,"6.4"
"2703","2006",피그플랜,"010007","180005","3",0,23.1,464,2.39,37.2,13.9,4.9,18.2,0.2,0.1,115.6,89,12.2,10.3,0.6,1.4,9.6,21.6,6.7,"87.4","4.8",244,"6.5"
"2161","2006",피그플랜,"010004","180006","3",0,22.6,533,2.37,46.3,14.6,4.1,20.8,4.8,2.1,115.4,81.8,11.4,10.2,0.4,0.8,9.5,19,6.9,"88","4",245,"5.7"
"1773","2006",피그플랜,"010002","180006","3",0,23,856,2.38,37.2,16.3,3.7,16.3,0.4,0.5,114.1,87.1,11.5,10.6,0.4,0.5,9.7,24.1,7.6,"86.5","2.7",245,"7.4"
"1788","2006",피그플랜,"010009","180002","4",0,18.9,132,2.27,43.6,12.3,1.3,30,0,0,116.1,77.2,11.5,10.3,0,1.2,8.3,23.6,5.8,"90","4.1",248,"5.5"
"1806","2006",피그플랜,"010008","180002","3",0,20.3,176,2.26,56.5,26,2,28.5,0,0,114.3,82.2,10.2,10.2,0,0.1,9,21.8,11.4,"72.4","5.9",255,"7.9"
"1719","2006",피그플랜,"010002","180002","3",0,22,116,2.3,46,12.2,1.2,32.5,0,0.1,115.5,80.3,11,10.1,0,0.9,9.6,23,6.1,"83.7","4.1",210,"6.5"
"2157","2006",피그플랜,"010004","180007","3",0,20.6,"1,613",2.34,36,15.5,2.5,13.3,3,1.6,115.7,81.7,10.4,9.7,0.1,0.6,8.8,26.1,7.6,"83.1","2.9",242,"6.5"
"694","2006",피그플랜,"010002","180006","3",0,23.4,627,2.37,44.4,12,17.7,10.7,0,3.9,114.8,88.8,11.8,11.1,0.2,0.5,9.9,20.7,6.1,"86.4","5.8",279,"6.3"
"1707","2006",피그플랜,"010001","180005","3",0,20.7,452,2.23,59.1,24.9,1.3,29.9,2.4,0.7,114.3,78.5,11.7,11,0.2,0.5,9.3,23.5,5.7,"93.2","4.1",238,"7.6"
"1733","2006",피그플랜,"010007","180003","3",0,21.1,230,2.21,55.8,20.5,0.6,31.9,1.2,1.6,115.2,76.4,11.3,10.7,0,0.5,9.5,25.8,9,"81.6","4.6",211,"6.5"
"1716","2006",피그플랜,"010001","180005","3",0,20.8,432,2.27,45.6,14.3,0.9,28.6,1.5,0.3,114.4,80.3,10.7,10.1,0.1,0.4,9.1,26.5,7.2,"84.4","5.1",249,"6.3"
"214","2006",피그플랜,"010007","180006","5",0,16.9,981,2.36,45,12.7,5.5,23.7,1.9,1.3,115.8,83.1,10.3,9.4,0.1,0.8,7.2,20.2,6.5,"86.3","2",251,"4"
"2619","2014",피그플랜,"010007","180004","3",0,20.7,395,2.28,47.1,15.1,3.4,25.8,1.6,1.1,114.3,77.6,11.5,10.3,0.6,0.6,9.1,26.4,7.4,"87.1","4.6",247,"5.3"
"2703","2014",피그플랜,"010007","180005","2",0,25.4,489,2.47,24.6,11.8,1.5,11.2,0.1,0.1,115.7,93.7,11.9,10.7,0.3,0.9,10.3,22,5.7,"91.5","4.6",255,"4.6"
"2182","2014",피그플랜,"010006","180002","4",0,18.8,134,2.05,75.9,33.8,16.9,25.2,0,0,115,84.2,11.2,11.2,0,0,9.2,23.7,20.8,"80.2","5.3",205,"4.6"
"1762","2014",피그플랜,"010002","180005","3",0,22.3,451,2.36,40.8,14.9,1.2,18.4,2.2,4.1,115.4,80.4,12.5,11.4,0.2,0.9,9.4,22.1,6.6,"87.2","5.5",249,"6.3"
"2638","2014",피그플랜,"010001","180001","3",17.1,21.7,77,2.27,43.2,10.4,1.8,29.2,0.9,0.9,115.5,78.2,12.6,10.7,1,0.8,9.5,25.6,5.4,"97.3","3.3",246,"3.9"
"1428","2014",피그플랜,"010001","180004","3",0,21.3,361,2.41,36.5,15.4,0.5,19.2,1.3,0,115.3,83.2,11.4,10.6,0,0.8,8.9,21,5.7,"92.3",,270,"6.4"
"1843","2014",피그플랜,"010009","180002","4",0,18.3,169,2.34,42.4,13,0.9,28.5,0,0,116.8,74.4,10.4,9.5,0,0.9,7.8,22.6,7,"89.2","3.8",243,"4"
"1706","2014",피그플랜,"010002","180007","1",0,27,"1,921",2.48,25.2,12.1,2.7,7.7,1.6,1.1,115.9,88.7,12.6,12.1,0.2,0.4,10.9,21.8,6,"92.7","3.9",261,"4.1"
"1197","2014",피그플랜,"010002","180003","3",0,24.3,295,2.4,32.4,12.6,3.5,16.2,0,0.2,114.8,85.8,12.8,11.6,0.3,0.8,10.1,24.5,7.1,"83.7","5.3",243,"3.7"
"1750","2014",피그플랜,"010001","180004","3",0,21.5,328,2.25,48.9,11.2,1,36.7,0.1,0,115.7,75.2,10.6,10.4,0,0.1,9.6,24.7,5.5,"96.2","6.2",242,"4.7"
"1724","2014",피그플랜,"010002","180003","2",0,26.6,289,2.42,24.7,12.9,0.2,11.4,0.2,0,115,87.3,12.9,11.8,0,1,11,27.1,5.8,"92.3","5.5",243,"5.1"
"2762","2014",피그플랜,"010005","180004","3",0,21.8,352,2.26,50.1,15.1,7.3,26.2,1.6,0,115.5,83.1,10.6,10.4,0,0.2,9.7,25.2,8.7,"82.5","2.9",252,"3.8"
"2156","2014",피그플랜,"010004","180006","3",0,22.9,541,2.27,44.7,13.2,2.4,21.6,5.7,1.8,115.4,78.6,12.6,11.3,0.3,0.9,10.1,26.7,7,"86.7","4.3",256,"4.4"
"3934","2014",피그플랜,"010002","180006","4",0,18.7,909,2.29,42.8,17.9,7.3,15.8,1,1,115,86.6,11.8,10.4,0.2,1.3,8.1,23.8,7.8,"84.9","4.9",,"6.9"
"1744","2014",피그플랜,"010007","180003","3",0,24.9,274,2.39,31.6,14.5,2.8,13.6,0.5,0.2,115.5,87.1,11.7,10.6,0,1,10.4,25.6,6.5,"92.9","5.1",243,"5.6"
"1399","2014",피그플랜,"010001","180006","2",0,25,865,2.41,34.5,18.1,2.6,13.3,0.4,0.1,115.2,87.1,13,11.3,0.6,1.1,10.4,22.1,9.3,"79.3","5.3",247,"3.7"
"1864","2014",피그플랜,"010007","180005","2",0,25.2,417,2.43,23.7,11.7,1,11,0,0,115.8,89.3,12.2,11.1,0.4,0.8,10.4,25.3,5.6,"95.9","5.6",267,"4.6"
"2632","2014",피그플랜,"010004","180002","3",0,21,168,2.17,61,15.9,3.4,37.7,4,0,116,68.2,10.7,10.5,0,0.2,9.7,25.8,9.1,"86.1","5.5",242,"4.3"
"1006","2014",피그플랜,"010006","180007","3",0,20.7,"2,158",2.52,26.2,13.9,1.6,10.7,0,0,113.4,88,11,10.7,0,0.3,8.2,21.1,6.2,"90.6",,238,"5"
"2720","2014",피그플랜,"010002","180004","3",0,22.9,351,2.33,44.1,17.1,0.9,26,0.2,0,114.8,79.4,13.4,11.6,0,1.8,9.8,22.6,8.1,"80.2",,268,"4.6"
"2637","2014",피그플랜,"010007","180002","3",0,22.7,195,2.36,40.3,12.3,6.6,20.1,0.9,0.4,114.7,82.7,10.5,9.9,0.1,0.5,9.6,24.1,6.6,"90.6","5.3",244,"4.4"
"3994","2014",피그플랜,"010001","180004","3",22.3,24.3,355,2.41,28.7,14.3,0.8,13.5,0,0.1,114.9,89.2,11.8,11.1,0,0.7,10.1,26.2,7.8,"84.3",,268,"4"
"2410","2014",피그플랜,"010002","180002","2",0,25.4,184,2.4,31.4,12.3,0.3,18.9,0,0,115.6,85.1,13.5,12.3,0.1,1,10.6,23.8,5.4,"93.2","4.8",244,"6.2"
"1417","2014",피그플랜,"010005","180006","2",0,25.4,515,2.43,29.8,10.1,1.4,17.5,0.1,0.8,114.1,83.8,12.6,11.4,0.5,0.7,10.4,24.5,5.3,"97.7","4.2",251,"3.4"
"1423","2014",피그플랜,"010003","180002","3",0,22.5,150,2.37,43.4,11.9,0.5,30.5,0.4,0,115.2,79.4,11.4,10.4,0.1,0.9,9.5,20.7,5.7,"93.6","5.7",271,"5.7"
"1970","2014",피그플랜,"010007","180006","4",0,18.7,541,2.21,64.1,16.2,3.8,39.7,3.4,1,114.6,77.4,11.1,10.2,0.2,0.6,8.5,21.1,8,"82.5","5.5",263,"4.6"
"2398","2014",피그플랜,"010002","180002","2",0,25.1,184,2.4,20.5,11.1,1,7.8,0.3,0.2,115.8,91,12,11,0.3,0.6,10.5,28.3,5.4,"95.6","5.8",235,"5"
"1405","2014",피그플랜,"010003","180003","3",0,22.4,202,2.33,34.6,14.5,0.6,18.5,0.8,0.1,115,89.2,10.6,10.2,0,0.4,9.6,27.2,5.8,"96.3","3.4",250,"5.6"
"118","2014",피그플랜,"010009","180004","4",0,19.4,311,2.17,60.2,14.5,1.2,34,7.4,3.2,116.4,68.5,10.9,10.2,0,0.7,9,25.3,7.4,"87.7","4.6",245,"4.1"
"2123","2014",피그플랜,"010001","180004","3",0,23.8,314,2.39,31.5,12.4,0.4,18.6,0,0.1,115.8,82.7,11.4,10.7,0,0.7,10,25.3,5.9,"93.6","5.9",250,"5.9"
"876","2014",피그플랜,"010003","180006","3",20.8,23.2,867,2.39,37.4,15,2.3,17.8,1,1.3,115,85.9,11.9,10.8,0.1,1,9.7,21.7,6.9,"85.9","4.5",254,"5.8"
"1839","2014",피그플랜,"010009","180007","3",0,20.8,"1,152",2.17,44.9,16.4,1.2,27.5,0,0,115.9,83.1,12.3,10.4,0,1.8,9.6,31.5,8.1,"82.9",,243,"6"
"111","2014",피그플랜,"010005","180002","3",0,21.3,158,2.25,57.9,14.9,0.5,41.9,0.6,0,115.2,73.2,11.2,10.3,0.1,0.8,9.4,20.4,6.9,"92.6","7.4",242,"6.2"
"2070","2014",피그플랜,"010007","180006","3",0,24.6,888,2.39,40.7,14.8,5.9,19,0.9,0.1,114.8,86.4,11.2,10.9,0.1,0.2,10.3,20.8,7,"92.7","5.8",273,"4.9"
"2333","2014",피그플랜,"010001","180006","3",0,22.2,629,2.4,34.6,14.5,1.2,18.3,0.3,0.3,115.1,82.8,12.7,11.6,0.2,1,9.2,23.1,6.8,"85","5",242,"5.7"
"1778","2014",피그플랜,"010005","180002","3",16.7,22.7,128,2.36,34.2,14.1,0.4,19.6,0.1,0,115.5,83.3,12.7,11,0.6,1.1,9.5,25.2,6.9,"87.1","4.9",248,"4.9"
"2509","2014",피그플랜,"010001","180007","4",0,18.3,"1,052",2.24,53.8,21.3,2.9,28.3,0.5,0.8,113.9,76.9,9.7,9.3,0.1,0.2,8.2,26.9,11.6,"70.1","2.6",253,"4.2"
"1669","2014",피그플랜,"010002","180004","3",0,23.9,361,2.41,37.1,11.6,16.6,7.4,1.6,0,115.4,88.5,11.5,11.1,0,0.4,9.9,24,6,"93.7",,251,"5"
"1746","2014",피그플랜,"010001","180004","2",0,25.7,347,2.43,30.8,14,0.6,15.7,0.4,0.1,115.5,86.7,11.7,11.2,0,0.5,10.6,22.8,6.1,"95.1","5.4",264,"6.2"
"2450","2014",피그플랜,"010001","180005","3",0,22.4,432,2.17,62.9,14.1,1.4,47,0.1,0.2,114.4,66.5,11.8,10.8,0.5,0.5,10.3,24.1,6.8,"87.9","5.2",263,"5.3"
"2446","2014",피그플랜,"010001","180004","3",0,24.6,367,2.38,43.6,11,0.1,32.3,0.1,0.2,114.8,77.6,13.7,12.3,0.3,1.1,10.3,20.2,5.2,"100","4.6",242,"4.2"
"647","2014",피그플랜,"010002","180004","3",0,22.9,386,2.34,35.2,11.8,1.2,21.5,0.6,0.1,115.3,79.4,12.3,11.1,0,1.1,9.8,25.9,5.8,"93.3","6.3",253,"4.9"
"3910","2014",피그플랜,"010009","180002","3",17,21.4,196,2.16,53,13.5,2.9,24,0,12.6,117,80.2,11.7,11.1,0,0.6,9.9,26.3,8.3,"88.8",,220,"3.9"
"1899","2014",피그플랜,"010003","180003","3",0,23,227,2.36,34.2,11.5,1,20.8,0.8,0.2,114.9,82.4,12.2,10.9,0.2,1.2,9.7,26.6,5.3,"93.6","6.7",243,"5.6"
"1915","2008",피그플랜,"010006","180005","3",0,23.7,442,2.43,36.7,17.3,2.3,17.2,0,0,114.6,85.6,11.5,10.5,0,1,9.7,20.9,7.4,"87.1","6",270,"8.9"
"1053","2008",피그플랜,"010001","180002","4",0,19.8,178,2.09,57.5,12.9,0.4,42.4,1.8,0,115.7,70.4,11.1,10.7,0.1,0.3,9.5,30.6,6.4,"88.1","3.2",243,"8"
"2764","2008",피그플랜,"010001","180003","3",16.9,21.6,280,2.32,36.6,14.2,1.2,18.2,2.8,0.2,116.2,84.5,12.1,10.9,0.4,0.8,9.3,24,6.2,"89.8","4.1",231,"6.7"
"1414","2008",피그플랜,"010004","180004","3",0,23.2,381,2.4,36.4,16.1,2.6,17.2,0.4,0.1,114.6,83.6,11.6,10.9,0.1,0.6,9.7,23.2,8,"81.4","5.3",244,"7.3"
"2680","2008",피그플랜,"010002","180006","3",0,20.2,914,2.27,41.2,13.6,3.7,23.6,0.2,0.1,115.2,80.2,11.4,10.1,0,1.4,8.9,27.3,7,"87.3","3.8",248,"5.5"
"1776","2008",피그플랜,"010002","180003","3",0,24.2,288,2.38,27.7,12.9,1.2,13.5,0.1,0,115.2,86.9,12,11,0.4,0.6,10.2,26.7,6.1,"92.2","5.4",252,"7.7"
"978","2008",피그플랜,"010005","180004","3",0,20.6,335,2.27,58.2,22.6,2.7,23.9,6.6,2.4,114.7,80.1,11.4,10.1,0.4,0.9,9.1,20.8,11.3,"80.5","5.5",269,"8.5"
"842","2008",피그플랜,"010002","180007","3",0,21.3,"1,944",2.28,36.9,14.8,4.2,15.6,1.3,1.2,115.4,87.3,11.5,10.6,0.3,0.6,9.3,27.9,7.6,"86.1","5.4",258,"6.8"
"852","2007",피그플랜,"010001","180007","4",0,19.1,"1,025",2.28,52.7,15.4,6.9,27.2,2,1.2,114.4,82.4,10.6,9.3,0.2,1.1,8.4,22.8,8,"80.9","4.5",242,"8.1"
"1757","2008",피그플랜,"010001","180002","3",18.2,21.5,157,2.31,34.9,17.1,1.8,13.2,2.1,0.7,115.8,91.5,12.3,11.3,0.3,0.7,9.3,26.2,8.3,"80","7.5",236,"7.3"
"94","2008",피그플랜,"010001","180003","3",0,20.8,271,2.3,38.7,14.7,0.7,22.7,0.7,0,115.7,81.6,10.9,10.1,0,0.8,9,26.1,7.1,"87.7","4.8",243,"6.5"
"827","2008",피그플랜,"010002","180007","3",0,20.4,"1,903",2.3,44.8,16.7,3.7,17.9,3.5,3.1,114.3,82,11.2,10.3,0.4,0.6,8.9,25,8.4,"88.6","5.9",261,"6.7"
"1075","2008",피그플랜,"010002","180005","3",17.3,20.6,413,2.22,53.6,15.1,1.1,31,4.5,1.9,115.2,64.9,10.8,10.3,0,0.5,9.3,25.7,7.2,"89","3.4",242,"6.1"
"118","2008",피그플랜,"010009","180003","3",0,23.1,245,2.35,37.9,15.7,1,20.5,0.2,0.4,114.1,76.2,11.8,10.7,0.2,0.8,9.8,25.6,7.6,"86","4",239,"5.9"
"2056","2008",피그플랜,"010008","180007","3",0,22.6,"1,901",2.35,35.4,14.9,2.4,15.3,1.3,1.4,115,86.5,11.4,10.6,0.2,0.5,9.6,25.1,7.6,"86","4.2",261,"7"
"1668","2008",피그플랜,"010002","180002","3",0,21.9,139,2.3,39.3,11.5,0.7,27,0,0,115.5,79.3,11.2,10.5,0,0.7,9.5,25.3,5.4,"92.4","5",213,"5.4"
"1755","2008",피그플랜,"010001","180006","4",0,19.5,505,2.25,46.8,17,2,21.5,3.1,3.1,114.7,76.7,11.5,10.7,0.2,0.6,8.7,25.5,8.8,"80.5","3.7",260,"5.5"
"1806","2008",피그플랜,"010008","180003","3",0,20.5,207,2.31,50.4,21.4,1.8,27.1,0.1,0,113.9,77.7,10.4,10.4,0,0,8.9,22.2,9,"77.2","5.5",273,"7.8"
"2480","2008",피그플랜,"010001","180007","4",0,19.7,"1,081",2.36,37.5,13.5,1.5,21.8,0.6,0,113.7,77.8,9.9,9.3,0.2,0.4,8.3,25.1,6.9,"88.3","2.3",256,"5"
"1740","2008",피그플랜,"010001","180003","3",0,21.2,261,2.36,43.5,12.7,2.2,28.1,0.4,0.1,114.7,76.6,10.7,10,0,0.6,9,22.1,5.8,"93.1","6",233,"7.6"
"762","2007",피그플랜,"010003","180004","3",19.4,21.8,310,2.32,47.2,14.3,2.2,29.5,0.8,0.4,113.4,80,10.2,9.6,0.1,0.5,9.4,23.5,6.3,"88.6","5.1",242,"6.6"
"2023","2007",피그플랜,"010003","180001","3",0,22.3,99,2.47,33.4,20.5,0,7.7,5.2,0,115.5,91,11,10,0.3,0.7,9,19.9,8.3,"84.6","0",236,"7.1"
"1706","2007",피그플랜,"010002","180007","3",0,21.7,"1,845",2.37,35.7,12.6,3.1,17.3,1.7,0.9,115,83.9,10.8,10.6,0,0.2,9.1,23.7,6.1,"90.9","5",232,"6.3"
"2156","2007",피그플랜,"010004","180006","3",0,20,529,2.25,48.9,10.8,1.6,30.4,4.8,1.2,115.8,79.6,10.7,9.9,0.2,0.7,8.9,25.3,5.9,"91.2","4.1",246,"5"
"1100","2007",피그플랜,"010007","180002","3",0,21.2,155,2.38,38.7,37.1,1.2,0.3,0,0,115.2,100,10.6,10,0,0.6,8.9,23.7,13.9,"82.1","0",198,"7.1"
"1668","2007",피그플랜,"010002","180002","3",0,21.6,147,2.33,36.6,12.2,0.2,24.2,0,0,115.9,80.5,11.3,10.4,0,0.8,9.3,25.9,6.3,"92.7","5.3",211,"5.9"
"1422","2007",피그플랜,"010001","180002","4",0,19.9,164,2.26,48.2,13.8,2,31.9,0.5,0,114.8,78.7,10.8,10,0,0.7,8.8,24.3,6.8,"90.8","5.9",239,"7"
"777","2007",피그플랜,"010009","180002","3",0,22.8,162,2.32,45.2,11.9,1.6,27.1,3.4,1.3,115.4,76.5,11.6,10.9,0,0.7,9.8,22.7,6.3,"89.7","4.2",242,"5.3"
"1760","2007",피그플랜,"010002","180003","3",0,24.3,246,2.39,32.9,20.1,0.7,12,0.1,0,115,88.1,11.4,10.6,0,0.7,10.2,23.8,8.9,"59.1","5.6",210,"8.5"
"1401","2007",피그플랜,"010007","180006","3",0,21.5,517,2.4,29.4,12.1,1.2,16.1,0,0,114.1,87,12.3,11.2,0.5,0.5,9,23.6,6.1,"88.8","3.8",245,"5.4"
"118","2007",피그플랜,"010009","180003","3",0,22.8,239,2.32,39.2,14.5,0.4,23.9,0.1,0.3,114.6,75,11.8,10.8,0.2,0.8,9.9,26.2,7,"86.6","3.3",243,"5.7"
"1781","2007",피그플랜,"010002","180003","3",0,23.4,270,2.36,38.2,17.2,3.1,16.5,0.3,1.1,114.2,84.2,11.7,11.1,0.3,0.4,9.9,24.6,8.4,"76.9","5.4",248,"9.3"
"1889","2007",피그플랜,"010002","180002","4",0,19.9,113,2.18,55,21.2,0.3,30,2.5,1.1,115.8,80.3,10.9,10,0,0.9,9.1,25.5,9.8,"74.9","5.8",227,"10"
"1010","2007",피그플랜,"010001","180003","3",0,20.1,202,2.14,60.3,14.2,4,41.5,0.5,0.1,114.9,70.1,10.9,10.1,0.1,0.7,9.4,27.5,7,"90.3","4.1",230,"6.1"
"998","2007",피그플랜,"010003","180005","3",0,20,402,2.31,49.4,14.4,2.7,25.5,3.2,3.6,115.6,80.4,11.1,9.8,0.3,0.9,8.6,20.1,6.7,"86.4","5.5",230,"6.7"
"683","2007",피그플랜,"010002","180002","3",21.3,22.6,103,2.41,25.9,11.7,0.6,13.6,0,0,113.7,87.2,12,11.2,0,0.8,9.4,26.9,5.4,"90.1","6.2",227,"8.6"
"1864","2007",피그플랜,"010007","180005","3",18,22.6,425,2.38,33.9,13.7,3.1,16.9,0,0.2,116.4,83.9,11.2,9.8,0.2,1.2,9.5,22.6,6.3,"87.5","4.9",272,"7.2"
"1672","2007",피그플랜,"010007","180005","3",0,21.1,484,2.22,51.1,19.4,12.8,18.9,0,0,114.7,88.2,11.4,10.2,0,1.2,9.5,26.2,10.1,"78.9","4.2",243,"6.5"
"784","2007",피그플랜,"010009","180002","4",0,19.7,166,2.17,62.6,19.1,2.9,30.2,9.4,0.9,115,75.4,10.8,10.6,0,0.2,9.1,24.8,8.3,"83.4","4.8",243,"7.2"
"786","2007",피그플랜,"010009","180002","3",0,22.7,165,2.38,36.2,15.3,0.9,17,1.9,0.9,114.8,84.9,11.2,10.4,0,0.8,9.5,24.8,7.7,"76.2","4.3",242,"6.9"
"1264","2007",피그플랜,"010005","180007","4",0,19.8,"1,232",2.27,62.6,12.4,1.9,47.9,0.4,0,115.4,66.8,10.3,9.6,0.1,0.6,8.7,18.6,5.8,"94.9","1.1",244,"6.6"
"820","2007",피그플랜,"010007","180004","3",0,23,352,2.34,49.9,20.6,3.3,25.2,0.4,0.3,116.1,79.7,11.5,10.5,0.3,0.7,9.9,18.2,9,"83.1","2.2",260,"5.7"
"634","2007",피그플랜,"010005","180006","3",14.9,20.8,932,2.33,40.7,16.4,1.2,20.1,2.6,0.5,114.6,80.6,10.5,9.9,0.2,0.3,8.9,24.4,7.8,"81.8","3.5",248,"6"
"1666","2007",피그플랜,"010005","180007","3",0,21.8,"1,039",2.45,36.8,11.9,1.5,21,1.4,0.9,114.8,82.7,10.4,9.4,0.2,0.8,8.9,19.1,5.3,"94.2","6.7",230,"7.4"
"2764","2007",피그플랜,"010001","180004","3",15.3,22.1,306,2.34,36.9,16.1,1,14.4,3.9,1.4,116.4,85.3,11.6,10.6,0.2,0.8,9.5,22.3,6.8,"87.7","3.5",240,"6.5"
"1992","2007",피그플랜,"010005","180005","4",0,19.8,467,2.16,60,19.6,4.9,35.2,0.2,0,114,75.8,11.2,9.8,0,1.4,9.2,26.3,9.5,"80.7","4.1",250,"6"
"1073","2007",피그플랜,"010002","180006","3",0,22.6,687,2.37,25.5,10.7,1.2,13.3,0,0.3,115.8,89.8,11.6,11.2,0,0.4,9.5,28.1,5.4,"92.9","5.4",217,"6.3"
"1730","2007",피그플랜,"010004","180003","4",0,17.9,237,2.16,60.4,12,0.2,37.6,9.4,1.2,114.9,67,11.5,9.3,1.5,0.7,8.3,25.2,6.4,"90.2","4.5",230,"5.9"
"1761","2007",피그플랜,"010007","180003","3",0,24.9,209,2.2,54.5,11.7,2.3,36,2.2,2.3,114.3,75.2,11.8,11.5,0,0.3,11.3,26.6,5.7,"96.3","4",234,"6.2"
"1238","2013",피그플랜,"010002","180002","3",15.7,20.4,142,2.19,58.5,19.6,1,37.8,0,0,115.6,74.2,11,9.9,0.3,0.8,9.3,24.2,8,"85.6","4.8",224,"6.1"
"1778","2013",피그플랜,"010005","180001","3",17.4,23.7,88,2.45,23.8,11.4,0.4,11.8,0.1,0.1,115.6,89.5,13.4,11.7,0.3,1.4,9.3,25.5,5.9,"90.5","7.4",247,"5.4"
