"연도","상시모돈","모돈평균산차","평균도폐산차","PSY","모돈회전율","평균이유두수","평균총산","평균실산","평균사산","평균미라","임신기간","포유기간","비생산일수","비생산일_이유_교배","비생산일_이유_도폐사","비생산일_교배_사고","비생산일_사고_교배","비생산일_사고_도폐사","분만율","재귀발정일","재귀율_7일_이내","최초교배일령"
"2011",256,9.1,8.4,23.6,2.36,10,12,11,0.7,0.3,115.1,26.2,33.1,13.9,2,17.2,0,0,83.2,6.6,89.1,264
"2011",447,6.1,4.6,23.8,2.42,9.8,11.4,10.1,1,0.3,115.1,20.2,38,14,6.1,17.4,0.1,0.4,86.8,6.5,90.8,250
"2011",334,4.8,7.7,21.3,2.27,9.4,11.2,10,1.1,0.1,114,22.8,53.3,12,2.8,33.8,0.7,4.1,81,5.4,92.6,253
"2011",347,6.8,5.4,22.8,2.37,9.6,11.8,11,0.7,0.1,115.1,25.7,30.4,13.7,0.6,15.9,0,0.1,87.5,6.3,89.6,239
"2011",666,7.9,7.3,20.6,2.3,9,11.8,10.7,0.9,0.2,114.5,25.6,42.8,20,5.2,13.1,1.8,2.6,85.6,9.5,80.3,259
"2011",198,7.4,4,21.4,2.24,9.5,11.2,10.5,0.6,0.1,115.3,25.1,51.8,17.6,2,31.6,0.5,0.1,71.2,8.6,78.1,253
"2011",183,6.8,6.2,20.8,2.35,8.9,12.1,11.5,0.6,0,115.9,27.6,34.4,11.5,2.1,20.3,0.4,0,81.3,6.8,84.7,234
"2011",165,6.4,3.8,21.7,2.21,9.8,12.8,11.6,1,0.2,114.5,26.7,55,27,2.4,23.4,1.6,0.7,81.5,13.7,74.4,242
"2014",673,4.7,4.1,23,2.37,9.7,12.4,11.4,0.7,0.4,115.1,25.3,34.8,17.6,1.5,15.2,0.4,0.1,87.6,8,88.3,256
"2014",416,4.3,4.6,25,2.35,10.6,12.7,12,0.6,0,115.3,21.6,43.5,12.5,1,28.4,1.3,0.4,83.1,6.3,92.9,245
"2014",903,4.7,4.5,20.5,2.14,9.6,11.2,10.5,0.4,0.3,114.9,27,64.5,11.5,1.1,38.5,8.8,4.6,69.8,6.1,92.2,263
"2014",925,4.1,1.5,24.1,2.4,10,12.5,11.4,0.9,0.3,114.5,21.7,40.9,15.4,3.1,19.2,2.6,0.7,83.6,7.2,89.3,253
"2014",139,4.7,4,20.1,2.18,9.3,11.9,11.1,0.7,0.1,114,23.8,63.4,14.4,0.4,46.3,2.3,0,59.5,8.1,81.4,223
"2014",94,5.1,5.1,20.8,2.28,9.1,11.9,10.9,0.9,0.1,115.3,27,39.1,16.9,0.5,19.2,1.9,0.7,82.8,8.3,81,241
"2014",69,4.4,3.1,26.3,2.43,10.8,12.3,11.6,0.7,0,114.2,24.6,27.1,10.8,1.6,13.7,0.3,0.7,76.7,5.3,95.8,244
"2014",235,5.3,6.8,21.5,2.25,9.6,11.8,10.9,0.8,0.1,115.4,27.4,41.4,17.3,0.5,23.4,0.1,0.1,87.1,7.9,84.2,242
"2014",214,4.8,5.4,20,2.35,8.5,11.3,9.9,1.2,0.2,114.9,23.5,40.2,18.6,2.4,16.2,2.7,0.2,83.9,8.5,84.4,257
"2014",2895,5,4.7,26.1,2.4,10.8,12.8,12.1,0.5,0.2,114.4,25.4,29.9,17.1,0.4,10.2,1.6,0.5,88,7.9,89.7,261
"2014",276,4.2,4.9,22.6,2.27,9.9,12.5,11.3,0.9,0.3,115,22,53,15.3,3.8,23.5,7.7,2.7,81.7,7.6,89.5,248
